id,u_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,date,created_at
1,2,-0.0243645,0.00336297,-0.0485596,-0.126189,-0.0575688,0.0132282,418,2019-09-29 14:41:27
2,2,-0.0243645,0.00336297,-0.0485596,-0.126189,-0.0575688,0.0132282,418,2019-09-29 14:41:27
3,2,-0.0259841,-0.00566026,-0.0363305,-0.145998,-0.0568748,0.00667762,418,2019-09-29 14:41:27
4,2,-0.0259841,-0.00566026,-0.0363305,-0.145998,-0.0568748,0.00667762,418,2019-09-29 14:41:27
5,2,-0.0207705,0.0125315,-0.0667496,-0.112885,-0.0585792,0.0216623,497,2019-09-29 14:41:27
6,2,-0.0207705,0.0125315,-0.0667496,-0.112885,-0.0585792,0.0216623,519,2019-09-29 14:41:27
7,2,-0.0213433,0.016279,-0.0783704,-0.10957,-0.04993,0.0228251,747,2019-09-29 14:41:27
8,2,-0.0213433,0.016279,-0.0783704,-0.10957,-0.04993,0.0228251,766,2019-09-29 14:41:27
9,2,-0.0215514,0.0265787,-0.0904132,-0.0858231,-0.0473971,0.0243251,920,2019-09-29 14:41:27
10,2,-0.0215514,0.0265787,-0.0904132,-0.0858231,-0.0473971,0.0243251,937,2019-09-29 14:41:27
11,2,-0.0229004,0.0492345,-0.121199,-0.012796,-0.0452053,0.0216737,131,2019-09-29 14:41:28
12,2,-0.0229004,0.0492345,-0.121199,-0.012796,-0.0452053,0.0216737,131,2019-09-29 14:41:28
13,2,-0.0222578,0.0546876,-0.138187,-0.00315785,-0.0396563,0.0250562,337,2019-09-29 14:41:28
14,2,-0.0222578,0.0546876,-0.138187,-0.00315785,-0.0396563,0.0250562,341,2019-09-29 14:41:28
15,2,-0.0192593,0.0384977,-0.130744,-0.0725918,-0.041471,0.0298201,510,2019-09-29 14:41:28
16,2,-0.0192593,0.0384977,-0.130744,-0.0725918,-0.041471,0.0298201,534,2019-09-29 14:41:28
17,2,-0.0197374,0.0306139,-0.117435,-0.0956765,-0.0490807,0.0341965,716,2019-09-29 14:41:28
18,2,-0.0197374,0.0306139,-0.117435,-0.0956765,-0.0490807,0.0341965,716,2019-09-29 14:41:28
19,2,-0.0235336,0.0248769,-0.106576,-0.10826,-0.048749,0.0283465,969,2019-09-29 14:41:28
20,2,-0.0235336,0.0248769,-0.106576,-0.10826,-0.048749,0.0283465,971,2019-09-29 14:41:28
21,2,-0.028551,0.0258371,-0.105506,-0.104806,-0.0460165,0.0333721,94,2019-09-29 14:41:29
22,2,-0.028551,0.0258371,-0.105506,-0.104806,-0.0460165,0.0333721,110,2019-09-29 14:41:29
23,2,-0.0302556,0.0433811,-0.143448,-0.0756153,-0.0526439,0.0411393,337,2019-09-29 14:41:29
24,2,-0.0302556,0.0433811,-0.143448,-0.0756153,-0.0526439,0.0411393,337,2019-09-29 14:41:29
25,2,-0.0406617,0.0583489,-0.238902,-0.0354097,-0.0628117,0.0420689,582,2019-09-29 14:41:29
26,2,-0.0406617,0.0583489,-0.238902,-0.0354097,-0.0628117,0.0420689,582,2019-09-29 14:41:29
27,2,-0.0561918,0.0707684,-0.3768,0.0303036,-0.0538171,0.0388426,706,2019-09-29 14:41:29
28,2,-0.0561918,0.0707684,-0.3768,0.0303036,-0.0538171,0.0388426,707,2019-09-29 14:41:29
29,2,-0.0775987,0.0682373,-0.501749,0.0494672,-0.0372488,0.0244447,896,2019-09-29 14:41:29
30,2,-0.0775987,0.0682373,-0.501749,0.0494672,-0.0372488,0.0244447,913,2019-09-29 14:41:29
31,2,-0.0789266,0.0648752,-0.568627,0.0615685,-0.0264,0.0172524,141,2019-09-29 14:41:30
32,2,-0.0789266,0.0648752,-0.568627,0.0615685,-0.0264,0.0172524,145,2019-09-29 14:41:30
33,2,-0.0837021,0.0491494,-0.556892,0.0508248,-0.0425198,-0.00426919,318,2019-09-29 14:41:30
34,2,-0.0837021,0.0491494,-0.556892,0.0508248,-0.0425198,-0.00426919,318,2019-09-29 14:41:30
35,2,-0.127697,0.0304168,-0.484357,0.0552873,-0.0565935,-0.0251173,485,2019-09-29 14:41:30
36,2,-0.127697,0.0304168,-0.484357,0.0552873,-0.0565935,-0.0251173,506,2019-09-29 14:41:30
37,2,-0.186448,0.0356825,-0.409827,0.0428162,-0.0781956,-0.0273788,696,2019-09-29 14:41:30
38,2,-0.186448,0.0356825,-0.409827,0.0428162,-0.0781956,-0.0273788,721,2019-09-29 14:41:30
39,2,-0.246859,0.122384,-0.379988,0.0297057,-0.103392,-0.0119805,898,2019-09-29 14:41:30
40,2,-0.246859,0.122384,-0.379988,0.0297057,-0.103392,-0.0119805,905,2019-09-29 14:41:30
41,2,-0.333895,0.227769,-0.400607,0.00855068,-0.127006,-0.0173539,96,2019-09-29 14:41:31
42,2,-0.333895,0.227769,-0.400607,0.00855068,-0.127006,-0.0173539,109,2019-09-29 14:41:31
43,2,-0.411391,0.297215,-0.448947,-0.0144679,-0.157131,-0.0121501,301,2019-09-29 14:41:31
44,2,-0.411391,0.297215,-0.448947,-0.0144679,-0.157131,-0.0121501,312,2019-09-29 14:41:31
45,2,-0.411391,0.297215,-0.448947,-0.0144679,-0.157131,-0.0121501,242,2019-09-29 14:41:32
46,2,-0.411391,0.297215,-0.448947,-0.0144679,-0.157131,-0.0121501,243,2019-09-29 14:41:32
47,2,-0.546315,0.473888,-0.509332,-0.0616464,-0.237126,0.0824941,321,2019-09-29 14:41:32
48,2,-0.546315,0.473888,-0.509332,-0.0616464,-0.237126,0.0824941,322,2019-09-29 14:41:32
49,2,-0.570132,0.472081,-0.498038,-0.0523378,-0.234209,0.0793205,388,2019-09-29 14:41:32
50,2,-0.570132,0.472081,-0.498038,-0.0523378,-0.234209,0.0793205,394,2019-09-29 14:41:32
51,2,-0.639147,0.458991,-0.464128,-0.0413525,-0.255724,0.0826226,580,2019-09-29 14:41:32
52,2,-0.639147,0.458991,-0.464128,-0.0413525,-0.255724,0.0826226,590,2019-09-29 14:41:32
53,2,-0.733366,0.455914,-0.445244,-0.0470075,-0.271683,0.0651386,784,2019-09-29 14:41:32
54,2,-0.733366,0.455914,-0.445244,-0.0470075,-0.271683,0.0651386,793,2019-09-29 14:41:32
55,2,-0.834687,0.476923,-0.453288,-0.0419744,-0.283188,0.0456984,983,2019-09-29 14:41:32
56,2,-0.834687,0.476923,-0.453288,-0.0419744,-0.283188,0.0456984,991,2019-09-29 14:41:32
57,2,-0.985619,0.463149,-0.43705,-0.0301947,-0.305556,0.0323426,224,2019-09-29 14:41:33
58,2,-0.985619,0.463149,-0.43705,-0.0301947,-0.305556,0.0323426,226,2019-09-29 14:41:33
59,2,-1.15174,0.467492,-0.413958,-0.0350817,-0.331003,0.027635,376,2019-09-29 14:41:33
60,2,-1.15174,0.467492,-0.413958,-0.0350817,-0.331003,0.027635,388,2019-09-29 14:41:33
61,2,-1.26159,0.482837,-0.353907,-0.0349816,-0.372935,0.0325213,579,2019-09-29 14:41:33
62,2,-1.26159,0.482837,-0.353907,-0.0349816,-0.372935,0.0325213,590,2019-09-29 14:41:33
63,2,-1.33401,0.460325,-0.236269,-0.0276781,-0.40828,0.0337459,784,2019-09-29 14:41:33
64,2,-1.33401,0.460325,-0.236269,-0.0276781,-0.40828,0.0337459,791,2019-09-29 14:41:33
65,2,-1.37889,0.460848,-0.0849189,-0.0264752,-0.43367,0.0476891,982,2019-09-29 14:41:33
66,2,-1.37889,0.460848,-0.0849189,-0.0264752,-0.43367,0.0476891,991,2019-09-29 14:41:33
67,2,-1.41656,0.459481,0.0718145,-0.0216661,-0.483324,0.0476122,186,2019-09-29 14:41:34
68,2,-1.41656,0.459481,0.0718145,-0.0216661,-0.483324,0.0476122,195,2019-09-29 14:41:34
69,2,-1.42506,0.420183,0.240194,-0.0186995,-0.521674,0.0312627,382,2019-09-29 14:41:34
70,2,-1.42506,0.420183,0.240194,-0.0186995,-0.521674,0.0312627,393,2019-09-29 14:41:34
71,2,-1.37306,0.375299,0.384944,-0.0331909,-0.549303,0.0233445,588,2019-09-29 14:41:34
72,2,-1.37306,0.375299,0.384944,-0.0331909,-0.549303,0.0233445,593,2019-09-29 14:41:34
73,2,-1.31704,0.294526,0.487618,-0.0309193,-0.569635,0.00964599,786,2019-09-29 14:41:34
74,2,-1.31704,0.294526,0.487618,-0.0309193,-0.569635,0.00964599,794,2019-09-29 14:41:34
75,2,-1.30881,0.243083,0.55786,-0.0223004,-0.588056,-0.00670471,983,2019-09-29 14:41:34
76,2,-1.30881,0.243083,0.55786,-0.0223004,-0.588056,-0.00670471,988,2019-09-29 14:41:34
77,2,-1.32061,0.246368,0.590873,-0.0346104,-0.598836,-0.011706,181,2019-09-29 14:41:35
78,2,-1.32061,0.246368,0.590873,-0.0346104,-0.598836,-0.011706,189,2019-09-29 14:41:35
79,2,-1.33412,0.315555,0.555328,-0.0302979,-0.593668,0.00776753,383,2019-09-29 14:41:35
80,2,-1.33412,0.315555,0.555328,-0.0302979,-0.593668,0.00776753,399,2019-09-29 14:41:35
81,2,-1.35341,0.41612,0.421282,-0.0167093,-0.624232,0.0452837,583,2019-09-29 14:41:35
82,2,-1.35341,0.41612,0.421282,-0.0167093,-0.624232,0.0452837,594,2019-09-29 14:41:35
83,2,-1.37743,0.463253,0.220613,0.0206116,-0.66194,0.0339198,784,2019-09-29 14:41:35
84,2,-1.37743,0.463253,0.220613,0.0206116,-0.66194,0.0339198,793,2019-09-29 14:41:35
85,2,-1.39065,0.484576,0.0127736,0.0612686,-0.671853,0.021626,982,2019-09-29 14:41:35
86,2,-1.39065,0.484576,0.0127736,0.0612686,-0.671853,0.021626,990,2019-09-29 14:41:35
87,2,-1.35784,0.491366,-0.119035,0.0129193,-0.572736,0.0589732,184,2019-09-29 14:41:36
88,2,-1.35784,0.491366,-0.119035,0.0129193,-0.572736,0.0589732,194,2019-09-29 14:41:36
89,2,-1.2782,0.457233,-0.243283,-0.013373,-0.457099,0.0873985,384,2019-09-29 14:41:36
90,2,-1.2782,0.457233,-0.243283,-0.013373,-0.457099,0.0873985,392,2019-09-29 14:41:36
91,2,-1.12555,0.447768,-0.401796,-0.100499,-0.502451,0.116811,584,2019-09-29 14:41:36
92,2,-1.12555,0.447768,-0.401796,-0.100499,-0.502451,0.116811,589,2019-09-29 14:41:36
93,2,-1.00035,0.459446,-0.585643,-0.147984,-0.534805,0.160546,782,2019-09-29 14:41:36
94,2,-1.00035,0.459446,-0.585643,-0.147984,-0.534805,0.160546,791,2019-09-29 14:41:36
95,2,-0.908854,0.442102,-0.766774,-0.123461,-0.411769,0.0906667,983,2019-09-29 14:41:36
96,2,-0.908854,0.442102,-0.766774,-0.123461,-0.411769,0.0906667,991,2019-09-29 14:41:36
97,2,-0.804032,0.468784,-0.937468,-0.133625,-0.286972,0.0636735,185,2019-09-29 14:41:37
98,2,-0.804032,0.468784,-0.937468,-0.133625,-0.286972,0.0636735,193,2019-09-29 14:41:37
99,2,-0.677105,0.468604,-1.06578,-0.134622,-0.211737,0.0414177,384,2019-09-29 14:41:37
100,2,-0.677105,0.468604,-1.06578,-0.134622,-0.211737,0.0414177,392,2019-09-29 14:41:37
101,2,-0.504911,0.448725,-1.17963,-0.118276,-0.168791,0.057072,585,2019-09-29 14:41:37
102,2,-0.504911,0.448725,-1.17963,-0.118276,-0.168791,0.057072,594,2019-09-29 14:41:37
103,2,-0.342959,0.478448,-1.28494,-0.126828,-0.123878,0.0373185,783,2019-09-29 14:41:37
104,2,-0.342959,0.478448,-1.28494,-0.126828,-0.123878,0.0373185,792,2019-09-29 14:41:37
105,2,-0.16713,0.470951,-1.38223,-0.100382,-0.0731778,0.0223386,1,2019-09-29 14:41:38
106,2,-0.16713,0.470951,-1.38223,-0.100382,-0.0731778,0.0223386,1,2019-09-29 14:41:38
107,2,0.026284,0.469965,-1.45908,-0.112023,-0.0289528,0.0372278,216,2019-09-29 14:41:38
108,2,0.026284,0.469965,-1.45908,-0.112023,-0.0289528,0.0372278,243,2019-09-29 14:41:38
109,2,0.20017,0.484085,-1.47926,-0.0944689,0.0292684,0.0300535,383,2019-09-29 14:41:38
110,2,0.20017,0.484085,-1.47926,-0.0944689,0.0292684,0.0300535,389,2019-09-29 14:41:38
111,2,0.390424,0.465612,-1.4459,-0.0712277,0.0611627,0.0186831,587,2019-09-29 14:41:38
112,2,0.390424,0.465612,-1.4459,-0.0712277,0.0611627,0.0186831,601,2019-09-29 14:41:38
113,2,0.574437,0.485223,-1.36751,-0.0797489,0.0651854,0.00439149,783,2019-09-29 14:41:38
114,2,0.574437,0.485223,-1.36751,-0.0797489,0.0651854,0.00439149,792,2019-09-29 14:41:38
115,2,0.75066,0.492883,-1.31406,-0.0743739,0.101899,0.0143929,988,2019-09-29 14:41:38
116,2,0.75066,0.492883,-1.31406,-0.0743739,0.101899,0.0143929,997,2019-09-29 14:41:38
117,2,0.957761,0.474223,-1.26396,-0.0603197,0.140212,0.0175619,184,2019-09-29 14:41:39
118,2,0.957761,0.474223,-1.26396,-0.0603197,0.140212,0.0175619,193,2019-09-29 14:41:39
119,2,1.14861,0.493029,-1.20604,-0.0814218,0.169735,0.0359502,384,2019-09-29 14:41:39
120,2,1.14861,0.493029,-1.20604,-0.0814218,0.169735,0.0359502,391,2019-09-29 14:41:39
121,2,1.29669,0.490531,-1.12264,-0.0665357,0.212796,0.0309428,587,2019-09-29 14:41:39
122,2,1.29669,0.490531,-1.12264,-0.0665357,0.212796,0.0309428,594,2019-09-29 14:41:39
123,2,1.44314,0.483297,-1.00342,-0.0327429,0.269957,0.0327979,786,2019-09-29 14:41:39
124,2,1.44314,0.483297,-1.00342,-0.0327429,0.269957,0.0327979,795,2019-09-29 14:41:39
125,2,1.5833,0.496635,-0.898198,-0.0393859,0.304387,0.0249328,986,2019-09-29 14:41:39
126,2,1.5833,0.496635,-0.898198,-0.0393859,0.304387,0.0249328,993,2019-09-29 14:41:39
127,2,1.74421,0.476836,-0.76929,-0.033474,0.352389,0.0241945,183,2019-09-29 14:41:40
128,2,1.74421,0.476836,-0.76929,-0.033474,0.352389,0.0241945,191,2019-09-29 14:41:40
129,2,1.86471,0.449748,-0.626541,-0.0330373,0.396084,0.0201348,383,2019-09-29 14:41:40
130,2,1.86471,0.449748,-0.626541,-0.0330373,0.396084,0.0201348,392,2019-09-29 14:41:40
131,2,1.8883,0.418712,-0.496013,-0.0188715,0.420831,-0.00161395,611,2019-09-29 14:41:40
132,2,1.8883,0.418712,-0.496013,-0.0188715,0.420831,-0.00161395,625,2019-09-29 14:41:40
133,2,1.88353,0.336862,-0.387932,-0.0287686,0.42678,-0.0145447,784,2019-09-29 14:41:40
134,2,1.88353,0.336862,-0.387932,-0.0287686,0.42678,-0.0145447,792,2019-09-29 14:41:40
135,2,1.88903,0.273032,-0.312504,-0.00903497,0.464296,-0.0102171,986,2019-09-29 14:41:40
136,2,1.88903,0.273032,-0.312504,-0.00903497,0.464296,-0.0102171,993,2019-09-29 14:41:40
137,2,1.92479,0.195134,-0.2457,-0.00417582,0.475676,-0.00110507,188,2019-09-29 14:41:41
138,2,1.92479,0.195134,-0.2457,-0.00417582,0.475676,-0.00110507,194,2019-09-29 14:41:41
139,2,1.95994,0.17215,-0.197402,-0.0175998,0.491452,0.00274516,389,2019-09-29 14:41:41
140,2,1.95994,0.17215,-0.197402,-0.0175998,0.491452,0.00274516,397,2019-09-29 14:41:41
141,2,1.99482,0.24315,-0.186035,-0.0607524,0.548483,-0.0203335,596,2019-09-29 14:41:41
142,2,1.99482,0.24315,-0.186035,-0.0607524,0.548483,-0.0203335,605,2019-09-29 14:41:41
143,2,2.05238,0.34018,-0.251114,-0.106664,0.842795,-0.0339729,785,2019-09-29 14:41:41
144,2,2.05238,0.34018,-0.251114,-0.106664,0.842795,-0.0339729,802,2019-09-29 14:41:41
145,2,2.12701,0.410899,-0.270224,-0.0803619,0.938917,-0.022813,983,2019-09-29 14:41:41
146,2,2.12701,0.410899,-0.270224,-0.0803619,0.938917,-0.022813,3,2019-09-29 14:41:42
147,2,2.11512,0.42934,-0.245126,-0.0921779,0.882574,-0.035031,186,2019-09-29 14:41:42
148,2,2.11512,0.42934,-0.245126,-0.0921779,0.882574,-0.035031,191,2019-09-29 14:41:42
149,2,2.07566,0.433924,-0.17991,-0.0988717,0.621192,-0.0458206,665,2019-09-29 14:41:42
150,2,2.07566,0.433924,-0.17991,-0.0988717,0.621192,-0.0458206,665,2019-09-29 14:41:42
151,2,2.07566,0.433924,-0.17991,-0.0988717,0.621192,-0.0458206,671,2019-09-29 14:41:42
152,2,2.07566,0.433924,-0.17991,-0.0988717,0.621192,-0.0458206,676,2019-09-29 14:41:42
153,2,2.07566,0.433924,-0.17991,-0.0988717,0.621192,-0.0458206,21,2019-09-29 14:41:43
154,2,2.07566,0.433924,-0.17991,-0.0988717,0.621192,-0.0458206,22,2019-09-29 14:41:43
